Brand, Product Name, Shipping,
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC Video Card,https://www.newegg.com/msi-radeon-rx-580-rx-580-armor-8g-oc/p/N82E16814137118?Item=N82E16814137118,199.99
GIGABYTE,GIGABYTE GeForce RTX 2070 Super GAMING OC 8G Graphics Card| GV-N207SGAMING OC-8GC,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gc/p/N82E16814932171?Item=N82E16814932171,549.99
ASUS,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,https://www.newegg.com/asus-geforce-rtx-2070-rog-strix-rtx2070-o8g-gaming/p/N82E16814126266?Item=N82E16814126266,519.99
Sapphire Tech,Sapphire PULSE Radeon RX 570 4GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100412P4GOCL,https://www.newegg.com/sapphire-radeon-rx-570-100412p4gocl/p/N82E16814202283?Item=N82E16814202283,129.99
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card,https://www.newegg.com/gigabyte-geforce-gtx-1660-ti-gv-n166toc-6gd/p/N82E16814932131?Item=N82E16814932131,269.99
XFX,XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,https://www.newegg.com/xfx-radeon-rx-590-rx-590p8dfd6/p/N82E16814150817?Item=N82E16814150817,239.99
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,https://www.newegg.com/sapphire-radeon-rx-580-100411p8gocl/p/N82E16814202278?Item=N82E16814202278,184.99
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING Z 8G Video Card,https://www.newegg.com/msi-geforce-rtx-2070-rtx-2070-gaming-z-8g/p/N82E16814137364?Item=N82E16814137364,509.99
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10620a-10m/p/N82E16814500454?Item=N82E16814500454,209.99
ASRock,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G Video Card,https://www.newegg.com/asrock-radeon-rx-vega-56-rx-vega-56-8g/p/N82E16814930006?Item=N82E16814930006,279.99
ASUS,ASUS TUF Gaming GeForce RTX 2060 6GB Edition 4K VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),https://www.newegg.com/asus-geforce-rtx-2060-tuf-rtx2060-o6g-gaming/p/N82E16814126311?Item=N82E16814126311,369.99
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2281-kr/p/N82E16814487418?Item=N82E16814487418,1099.99
ZOTAC,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600F-10L,https://www.newegg.com/zotac-geforce-gtx-1660-zt-t16600f-10l/p/N82E16814500465?Item=N82E16814500465,219.99
ZOTAC,ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600D-10M,https://www.newegg.com/zotac-geforce-rtx-2060-zt-t20600d-10m/p/N82E16814500457?Item=N82E16814500457,359.99
GIGABYTE,GIGABYTE Radeon RX Vega 64 DirectX 12 GV-RXVEGA64GAMING OC-8GD Video Card,https://www.newegg.com/gigabyte-radeon-rx-vega-64-gv-rxvega64gaming-oc-8gd/p/N82E16814932031?Item=N82E16814932031,399.99
MSI,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC Video Card,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-ventus-8g-oc/p/N82E16814137350?Item=N82E16814137350,669.99
GIGABYTE,GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card| 3 x WINDFORCE Fans| 11GB 352-Bit GDDR6| GV-N208TGAMING OC-11GC Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932064?Item=N82E16814932064,1179.99
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OCV1 Video Card,https://www.newegg.com/msi-geforce-rtx-2070-rtx-2070-armor-8g-ocv1/p/N82E16814137397?Item=N82E16814137397,479.99
